Place of interest,Type of place,Place address,BiciMAD station,Station location
Colegio Público Adolfo Suárez,Colegios públicos,CALLE INFANTA CATALINA MICAELA 31,Manuel Caldeiro,Paseo de la Castellana nº 298
Colegio Público Agustina Díez,Colegios públicos,CALLE VESUBIO 5,Sierra Toledana,Camino de Valderribas nº 94
Colegio Público Agustín Rodriguez Sahagún,Colegios públicos,CALLE LA GRANJA DE SAN ILDEFONSO 17,Pavones,Calle Hacienda de Pavones nº 342
Colegio Público Alberto Alcocer,Colegios públicos,AVENIDA CANILLEJAS A VICALVARO 56,Gutierre de Cetina,Calle Gutierre de Cetina nº 77
Colegio Público Alcalde de Móstoles,Colegios públicos,CALLE ALDEANUEVA DE LA VERA 9,Caramuel,Calle Caramuel nº 51
Colegio Público Alfonso X El Sabio,Colegios públicos,CALLE FUENTE DE SAN PEDRO 6,Pavones,Calle Hacienda de Pavones nº 342
Colegio Público Alfredo di Stefano,Colegios públicos,calle felix candela 4,Gutierre de Cetina,Calle Gutierre de Cetina nº 77
Colegio Público Alhambra,Colegios públicos,CALLE RAMON GOMEZ DE LA SERNA 103,Facultad Derecho,Avenida Complutense nº 23
Colegio Público Amadeo Vives,Colegios públicos,CALLE LOS YEBENES 6,Caramuel,Calle Caramuel nº 51
Colegio Público Amador de los Ríos,Colegios públicos,PASEO MARQUES DE ZAFRA 16,Marqués de Zafra,Paseo Marqués de Zafra nº 24
Colegio Público Amós Acero,Colegios públicos,CALLE RODRIGUEZ ESPINOSA 54,Concordia,Calle Arroyo del Olivar nº 6
Colegio Público Angel Nieto,Colegios públicos,AVENIDA LAS SUERTES 109,Pavones,Calle Hacienda de Pavones nº 342
Colegio Público Antonio Fontan,Colegios públicos,AVENIDA SANTUARIO DE VALVERDE 71,Pedro Rico,Calle Pedro Rico nº 4
Colegio Público Antonio Machado,Colegios públicos,CALLE ALLARIZ 3,Marqués de Vadillo,Glorieta Marqués de Vadillo nº 9
Colegio Público Antonio Moreno Rosales,Colegios públicos,CALLE OLMO 4,Jesús y María,Calle Lavapiés nº 34
Colegio Público Antonio de Nebrija,Colegios públicos,CALLE JUAN JOSE MARTINEZ SECO 77,Embajadores 191,Calle Sodio nº 1B
Colegio Público Aragón,Colegios públicos,AVENIDA RAFAEL ALBERTI 2,Pavones,Calle Hacienda de Pavones nº 342
Colegio Público Aravaca,Colegios públicos,CALLE ESTUDIO 6,Facultad Derecho,Avenida Complutense nº 23
Colegio Público Arcipreste de Hita,Colegios públicos,CALLE ANTONIO MORENO 25,Marqués de Vadillo,Glorieta Marqués de Vadillo nº 9
Colegio Público Arquitecto Gaudí,Colegios públicos,CALLE ROSA JARDON 10,Pío XII,Avenida Pío XII nº 3
Colegio Público Asturias,Colegios públicos,CALLE ASTURIANOS 2,Pavones,Calle Hacienda de Pavones nº 342
Colegio Público Ausias March,Colegios públicos,CALLE ESTEFANITA 9,Embajadores 191,Calle Sodio nº 1B
Colegio Público Azorín,Colegios públicos,CALLE GODELLA 57,Embajadores 191,Calle Sodio nº 1B
Colegio Público Barcelona,Colegios públicos,AVENIDA LA VERBENA DE LA PALOMA 14,Glorieta de Cádiz,Calle Antonio López nº 129
Colegio Público Blas de Lezo,Colegios públicos,CALLE FROMISTA 27,Pedro Rico,Calle Pedro Rico nº 4
Colegio Público Blas de Otero,Colegios públicos,CALLE PUENTELARRA 34,Pavones,Calle Hacienda de Pavones nº 342
Colegio Público Bolivia,Colegios públicos,CALLE VILLAVALIENTE 29,Caramuel,Calle Caramuel nº 51
Colegio Público Bravo Murillo,Colegios públicos,CALLE ISLAS CIES 11,Francos Rodríguez,Calle Francos Rodríguez nº 62
Colegio Público Breogán,Colegios públicos,CALLE GINZO DE LIMIA 2,Remonta,Calle Azucenas nº 1
Colegio Público Calderón de la Barca,Colegios públicos,CALLE CALDERON 2,Gutierre de Cetina,Calle Gutierre de Cetina nº 77
Colegio Público Camilo José Cela,Colegios públicos,CALLE MELCHOR FERNANDEZ ALMAGRO 22,Pedro Rico,Calle Pedro Rico nº 4
Colegio Público Capitán Cortés,Colegios públicos,CALLE MONSEÑOR OSCAR ROMERO 17,Marqués de Vadillo,Glorieta Marqués de Vadillo nº 9
Colegio Público Cardenal Herrera Oria,Colegios públicos,CALLE FERMIN CABALLERO 68,Pedro Rico,Calle Pedro Rico nº 4
Colegio Público Carlos Sáinz de los Terreros,Colegios públicos,CALLE CARTAMA 1,Pavones,Calle Hacienda de Pavones nº 342
Colegio Público Carlos V,Colegios públicos,CALLE VIRGEN DEL VAL 3,Avenida Donostiarra,Calle Virgen de la Alegría nº 18
Colegio Público Carmen Cabezuelo,Colegios públicos,CALLE CANGAS DE ONIS 7,Gutierre de Cetina,Calle Gutierre de Cetina nº 77
Colegio Público Carmen Laforet,Colegios públicos,CALLE TITANIO 16,Pavones,Calle Hacienda de Pavones nº 342
Colegio Público Cervantes,Colegios públicos,CALLE RAIMUNDO FERNANDEZ VILLAVERDE 4,Glorieta de los Cuatro Caminos,Calle Santa Engracia nº 168
Colegio Público Ciudad Pegaso,Colegios públicos,AVENIDA SEPTIMA 12,Gutierre de Cetina,Calle Gutierre de Cetina nº 77
Colegio Público Ciudad de Badajoz,Colegios públicos,CALLE FRAY JOSE CERDEIRIÑA 51,Caramuel,Calle Caramuel nº 51
Colegio Público Ciudad de Córdoba,Colegios públicos,CALLE LILLO 1,Glorieta de Cádiz,Calle Antonio López nº 129
Colegio Público Ciudad de Guadalajara,Colegios públicos,CALLE BERGANTIN 13,Gutierre de Cetina,Calle Gutierre de Cetina nº 77
Colegio Público Ciudad de Jaén,Colegios públicos,CALLE MADRE ROSA BLANCO 3,Glorieta de Cádiz,Calle Antonio López nº 129
Colegio Público Ciudad de Roma,Colegios públicos,CALLE JUAN ESPLANDIU 2,Parque Roma,Calle Alcalde Sáinz de Baranda frente al nº 107
Colegio Público Ciudad de Valencia,Colegios públicos,AVENIDA MEDITERRANEO 91,Pavones,Calle Hacienda de Pavones nº 342
Colegio Público Ciudad de Zaragoza,Colegios públicos,CALLE MANUEL AGUILAR MUÑOZ 1,Gutierre de Cetina,Calle Gutierre de Cetina nº 77
Colegio Público Ciudad de los Ángeles,Colegios públicos,CALLE LA ALEGRIA DE LA HUERTA 6,Glorieta de Cádiz,Calle Antonio López nº 129
Colegio Público Claudio Moyano,Colegios públicos,CALLE CEA BERMUDEZ 26,Parque Santander,Calle Santander esquina con Avenida de Filipinas
Colegio Público Complejo Escolar Príncipe Felipe,Colegios públicos,AVENIDA MONFORTE DE LEMOS 24,Pedro Rico,Calle Pedro Rico nº 4
Colegio Público Concepción Arenal,Colegios públicos,CALLE ANTONIO LOPEZ 1,Marqués de Vadillo,Glorieta Marqués de Vadillo nº 9
Colegio Público Concha Espina,Colegios públicos,CALLE GERARDO DIEGO 6,Pavones,Calle Hacienda de Pavones nº 342
Colegio Público Conde de Romanones,Colegios públicos,CALLE ELFO 143,C.D. Concepción,Calle Jose del Hierro nº 5
Colegio Público Cortes de Cádiz,Colegios públicos,AVENIDA NICETO ALCALA ZAMORA 48,Manuel Caldeiro,Paseo de la Castellana nº 298
Colegio Público Costa Rica,Colegios públicos,CALLE CAMARENA 247,Caramuel,Calle Caramuel nº 51
Colegio Público Cristóbal Colón,Colegios públicos,CARRETERA CARABANCHEL A VILLAVERDE 109,Glorieta de Cádiz,Calle Antonio López nº 129
Colegio Público Cuba,Colegios públicos,CALLE TEMBLEQUE 58,Caramuel,Calle Caramuel nº 51
Colegio Público Daniel Vázquez Díaz,Colegios públicos,CALLE ARMENTEROS 46,Francos Rodríguez,Calle Francos Rodríguez nº 62
Colegio Público Dionisio Ridruejo,Colegios públicos,CALLE ZIPAQUIRA 14,Carlota O’Neill,Calle Carlota O'Neill nº 32
Colegio Público Doctor Conde Arruga,Colegios públicos,CALLE HACIENDA DE PAVONES 105,Marroquina,Calle Camino de los Vinateros nº 108
Colegio Público Doctor Federico Rubio,Colegios públicos,AVENIDA DOCTOR FEDERICO RUBIO Y GALI 53,Pablo Iglesias,Calle Francisco Balseiro nº 1
Colegio Público Doctor Severo Ochoa,Colegios públicos,CALLE EZCARAY 3,Pavones,Calle Hacienda de Pavones nº 342
Colegio Público Doctor Tolosa Latour,Colegios públicos,CALLE ASTURIANOS 4,Pavones,Calle Hacienda de Pavones nº 342
Colegio Público Dámaso Alonso,Colegios públicos,AVENIDA ESPINELA 1,Glorieta de Cádiz,Calle Antonio López nº 129
Colegio Público EEUU - Huarte de San Juan,Colegios públicos,PASEO COMANDANTE FORTEA 71,Paseo de Moret,Paseo de Moret nº 11
Colegio Público Eduardo Rojo,Colegios públicos,CALLE EDUARDO ROJO 5,Concordia,Calle Arroyo del Olivar nº 6
Colegio Público El Espinillo,Colegios públicos,CALLE UNANIMIDAD 1,Embajadores 191,Calle Sodio nº 1B
Colegio Público El Greco,Colegios públicos,CALLE ESTEFANITA 7,Embajadores 191,Calle Sodio nº 1B
Colegio Público El Madroño,Colegios públicos,CALLE LAS MARISMAS 14,Plaza del Encuentro,Calle Arroyo de las Pilillas nº 6
